,Net,Nodes,Links,read_time,PSO_time,PSO_score
0,fcv_open_no_upstream_sources.inp,8,8,0.7817986011505127,1.3633947372436523,1350.0
0,latin1.inp,11,13,0.8422939777374268,1.3211297988891602,1963.6363636363637
0,Anytown.inp,25,46,3.765223741531372,1.4478580951690674,9932.4
0,Anytown_multipointcurves.inp,25,46,3.862257242202759,1.582259178161621,3600.0
0,fcv_open_no_downstream_sources.inp,8,8,0.583608865737915,1.2204747200012207,1350.0
0,conditional_controls_2.inp,5,4,0.8418276309967041,1.1473891735076904,0.0
0,prv_open_no_upstream_sources.inp,8,8,0.6275041103363037,1.197814702987671,1350.0
0,prv_closed_no_upstream_sources.inp,8,8,0.5671172142028809,1.1670494079589844,1350.0
0,io.inp,5,6,0.9185323715209961,1.0908572673797607,0.0
0,psv_open_no_downstream_sources.inp,8,8,1.1938273906707764,1.2349984645843506,1350.0
0,Tnet3.inp,129,178,29.2546124458313,5.142395734786987,2595.3488372093025
0,House1_House_Age.inp,44,43,5.710016965866089,2.118260145187378,95993.18181818182
0,Example_1.inp,130,180,76.73507452011108,5.760841608047485,102613.84615384616
0,ky5_Jolly2013.inp,430,507,177.21119284629822,29.12595272064209,50847.90697674418
0,Net1.inp,11,13,0.8374166488647461,1.1866004467010498,1963.6363636363637
0,CY_DMA.inp,91,120,12.308503866195679,9.492846012115479,24092.30769230769
0,Net2.inp,36,40,3.1736950874328613,1.9033243656158447,3100.0
0,Net3.inp,97,119,20.105485916137695,7.0113584995269775,68548.45360824742
0,Jilin including water quality.inp,28,34,2.649231195449829,2.4627127647399902,41657.142857142855
0,BWSN_Network_1_temp.inp,129,178,55.245264530181885,43.38604211807251,100046.51162790698
0,NET1-3.inp,11,13,0.8352622985839844,1.2303073406219482,1963.6363636363637
0,Modified New York Tunnels including water quality.inp,20,42,1.8326148986816406,1.4414358139038086,38880.0
0,New York Tunnels including water quality.inp,20,42,1.686631441116333,1.357408046722412,27180.0
0,Net1_temp.inp,11,13,0.8516209125518799,1.2392661571502686,1963.6363636363637
0,anytown.inp,22,41,2.2802953720092773,1.4340765476226807,8345.454545454546
0,anytown_temp.inp,22,41,2.121528148651123,1.5519750118255615,8345.454545454546
0,d-town.inp,407,459,1989.9117782115936,50.801507234573364,361024.93857493857
0,sampletown.inp,8,7,0.7774624824523926,1.4393489360809326,1350.0
0,example2.inp,36,40,3.890180826187134,1.8176989555358887,3100.0
0,example1.inp,11,13,0.8861894607543945,1.3353078365325928,1963.6363636363637
0,example3.inp,97,119,15.653011798858643,3.6208956241607666,21098.96907216495
0,example.inp,5,5,0.45072031021118164,1.2216556072235107,0.0
0,14_Tolson.inp,406,886,1919.546627998352,50.28206396102905,369349.1379310345
0,12_Kandiah.inp,407,489,1433.4181072711945,30.908220052719116,331017.5675675676
0,10_Guidolin.inp,407,893,1496.3012380599976,34.98667025566101,342489.8034398034
0,11_Wang.inp,407,889,1464.470435142517,35.80833888053894,373370.6388206388
0,2_Walski.inp,409,474,583.3621065616608,36.290258169174194,343645.96577017114
0,3_Stokes.inp,407,890,1492.627037525177,35.28799295425415,387155.89680589683
0,1_Wu.inp,406,475,1341.656269311905,34.35213613510132,358364.039408867
0,5_Saldarriaga.inp,406,458,1318.8030016422272,33.507189989089966,350930.1724137931
